Tip_labels_tree,ratio_canals_ln,mean_gr_peri_ln_um,Wings_area_ln_mm2,thick_wings_ln_um,Seed_mass_ln_mg,ratio_canals_var,mean_gr_peri_var,Wings_area_var,thick_wings_var,Seed_mass_mg_var
Ferula_michaelii_0352,3.03,4.74,2.44,5.11,2.56,26.02,147.19,15.67,375.42,7.64
Ferula_ammoniacum_0073,2.61,4.48,2.99,4.96,2.51,19.52,110.39,11.75,281.57,5.73
Ferula_aucheri_0070,2.56,4.43,2.15,4.83,2.22,15.61,88.31,9.4,225.25,4.58
Ferula_glabrifolia_0072,2.49,4.66,2.53,5.6,2.45,78.06,441.57,47.01,1126.27,22.92
Ferula_hyrcana_0071,2.31,4.24,2.51,4.91,2.35,39.03,220.78,23.51,563.13,11.46
Ferula_akitschkensis_0105,3.79,3.89,2.02,4.54,2.14,26.02,147.19,15.67,375.42,7.64
Ferula_alliacea_2050,4.18,4.55,2.69,4.92,1.85,39.03,220.78,23.51,563.13,11.46
Ferula_badrakema_0162,4.56,4.26,3.17,5.29,2.22,78.06,441.57,47.01,1126.27,22.92
Ferula_blanchei_0343,4.31,5.14,4.94,5.42,3.78,39.03,220.78,23.51,563.13,11.46
Ferula_botschantzevii_0154,4.4,4.87,3.28,5.04,2.32,78.06,441.57,47.01,1126.27,22.92
Ferula_canescens_0198,4.53,4.72,2.75,5.03,2.64,26.02,147.19,15.67,375.42,7.64
Ferula_caspica_0180,3.25,3.87,1.68,4.71,1.48,26.02,147.19,15.67,375.42,7.64
Ferula_clematidifolia_0161,3.49,4.21,2.78,5.05,3.12,39.03,220.78,23.51,563.13,11.46
Ferula_decurrens_0179,4.42,5.46,3.44,4.98,3.39,78.06,441.57,47.01,1126.27,22.92
Ferula_diversivittata_0143,4.07,4.31,3.51,5.03,3.21,26.02,147.19,15.67,375.42,7.64
Ferula_fedoroviorum_0133,4.53,4.13,0.96,4.55,0.8,26.02,147.19,15.67,375.42,7.64
Ferula_ferganensis_0173,4.44,4.96,2.95,5.26,3.36,39.03,220.78,23.51,563.13,11.46
Ferula_feruloides_0107,3.18,4.05,2.42,4.89,1.68,39.03,220.78,23.51,563.13,11.46
Ferula_foetida_0132,NA,5.06,4.6,5.31,3.6,39.03,220.78,23.51,563.13,11.46
Ferula_foetidissima_0165,4.01,4.44,3.29,4.68,2.82,39.03,220.78,23.51,563.13,11.46
Ferula_gabrielii_0429,4.04,4.62,2.21,4.77,1.1,78.06,441.57,47.01,1126.27,22.92
Ferula_gigantea_0103,3.5,3.96,3.68,4.98,3.04,39.03,220.78,23.51,563.13,11.46
