Species,MZW,HM3,WM3,FS
Addax_nasomaculatus,3.9,4.17,1.02,M
Aepyceros_melampus,3.1,3.52,0.72,M
Alcelaphus_buselaphus,5.6,4.6,0.88,G
Alces_alces,6,2.48,1.85,B
Ammotragus_lervia,2.9,3.88,0.87,M
Antidorcas_marsupialis,2.1,3.18,0.65,M
Antilocapra_americana,3.2,3.64,0.79,M
Antilope_cervicapra,2.3,3.65,0.71,G
Axis_porcinus,2.6,1.85,0.73,M
Bison_bison,9.4,7.3,1.5,G
Bison_bonasus,8.6,7.28,1.19,M
Blastocerus_dichotomus,3.6,1.52,1.02,M
Bos_indicus,7.4,5.75,1.3,M
Boselaphus_tragocamelus,4.9,3.7,1.22,M
Budorcas_taxicolor,5.6,4.43,1.29,M
Camelus_bactrianus,5.4,5.87,1.97,M
Camelus_dromedarius,4.9,5.25,2.08,M
Capra_ibex,2.8,4.71,1,M
Capreolus_capreolus,2.6,1.56,1.05,B
Capricornis_sumatraensis,3.3,3.73,0.95,M
Cephalophus_dorsalis,2.5,1.3,1.13,B
Philantomba_monticola,1.2,0.8,0.42,B
Cephalophus_spadix,2.8,1.48,0.76,B
Cephalophus_silvicultor,3.6,2.32,1.04,B
Cervus_elaphus,4.5,2.17,1.03,M
Cervus_nippon,3,2.18,0.78,M
Rusa_unicolor,5.1,2.75,1.25,M
Connochaetes_gnou,6.1,4.85,1.02,G
Connochaetes_taurinus,6.3,5.63,1.14,G
Dama_dama,3.6,1.85,0.92,M
Damaliscus_pygargus,4.3,3.9,0.82,G
Beatragus_hunteri,4.6,4.02,0.97,G
Damaliscus_lunatus,5.3,4.6,0.9,G
Dorcatragus_megalotis,1.2,1.2,0.41,M
Elaphodus_cephalophus,2.7,1.23,0.73,M
Elaphurus_davidianus,5.4,2.84,1.21,G
Equus_asinus,5,6.9,0.79,G
Equus_burchellii,6.3,6.76,1.16,G
Equus_grevyi,5.9,7.9,1.36,G
Equus_hemionus,5.7,7.47,1.29,G
Equus_kiang,6,7.9,1.3,G
Equus_caballus,6,7.64,1.34,G
Equus_zebra,6.4,8.75,1.24,G
Gazella_dorcas,1.5,1.88,0.52,M
Nanger_granti,2.4,2.83,0.82,M
Eudorcas_thomsonii,1.7,2.26,0.6,M
Giraffa_camelopardalis,7.9,2.26,1.88,B
Hemitragus_jemlahicus,2.8,4.11,0.83,M
Hippocamelus_bisulcus,3.4,1.61,0.83,M
Hippotragus_equinus,5.7,4.41,1.03,G
Hippotragus_niger,5.2,3.87,1.03,G
Hydropotes_inermis,2.5,1.05,0.57,M
Hyemoschus_aquaticus,1.5,0.74,0.57,B
Kobus_ellipsiprymnus,5.2,3.82,1.1,G
Kobus_kob,3.5,2.75,0.74,G
Kobus_leche,3.7,2.9,0.8,G
Lama_guanicoe,2.9,3.42,0.99,M
Litocranius_walleri,2,0.78,0.59,B
Madoqua_kirkii,0.6,1,0.38,B
Mazama_americana,2,0.9,0.69,B
Moschus_moschiferus,2.5,0.97,0.49,M
Muntiacus_muntjak,2.5,1.34,0.74,M
Muntiacus_reevesi,2.2,0.84,0.75,M
Naemorhedus_goral,2.3,2.9,0.72,M
Neotragus_moschatus,1.2,1.3,0.37,B
Odocoileus_hemionus,3.8,1.17,0.74,B
Odocoileus_virginianus,3.2,1.17,0.95,B
Okapia_johnstoni,5.2,1.96,1.66,B
Oreamnos_americanus,2.9,2.35,0.85,M
Oreotragus_oreotragus,1.5,1.68,0.44,B
Oryx_gazella,5.1,4.08,1.21,M
Ourebia_ourebi,1.8,2.05,0.54,M
Ovibos_moschatus,5.4,4.5,1.22,M
Ovis_canadensis,3.2,3.82,0.93,M
Ozotoceros_bezoarticus,2.4,1.61,0.76,M
Pelea_capreolus,2.2,2.67,0.67,B
Phacochoerus_aethiopicus,5.7,4.96,1.24,G
Procapra_gutturosa,3.1,2.89,0.74,M
Pseudois_nayaur,2.7,4.08,0.77,M
Pudu_mephistophiles,1.7,0.9,0.56,B
Pudu_puda,1.6,1,0.62,B
Rangifer_tarandus,5.9,1.4,0.92,M
Raphicerus_campestris,1.4,1.48,0.43,M
Raphicerus_melanotis,1.4,1.11,0.42,M
Redunca_arundinum,3,2.69,0.75,G
Redunca_fulvorufula,2.5,2.77,0.73,G
Rupicapra_rupicapra,2.2,2.47,0.59,M
Saiga_tatarica,2.3,3.28,0.62,M
Sylvicapra_grimmia,1.9,1.72,0.58,B
Syncerus_caffer,10,4.77,1.59,G
Tapirus_indicus,4.9,1.6,2.11,B
Tapirus_terrestris,4.2,1.64,1.78,B
Taurotragus_oryx,6.5,4.43,1.52,M
Tetracerus_quadricornis,2.1,2.89,1,G
Tragelaphus_angasii,3.8,2.34,0.93,M
Tragelaphus_buxtoni,5,2.48,1.27,B
Tragelaphus_eurycerus,5.9,2.49,1.3,M
Tragelaphus_imberbis,3.8,1.91,0.97,B
Tragelaphus_scriptus,2.9,1.73,0.68,B
Tragelaphus_spekii,3.4,2.29,0.79,M
Tragelaphus_strepsiceros,5.2,3.07,1.34,B
Tragulus_javanicus,1.2,0.53,0.36,B
Moschiola_meminna,1.4,0.67,0.39,B
Vicugna_vicugna,2.4,3.55,0.82,M
